reviewPriority,reviewBatch,playerKey,playerName,classicRole,mantraRoles,realTeam,realTeamOriginal,fantacalcioId,quotationCurrent,fvm,fantasyRoster,fbrefSearchQuery,fbrefSearchUrl,fbrefId,fbrefName,fbrefUrl,matchStatus,confidence,notes
"73","batch-02","fc-1852","Spinazzola","D","Ds/E","NAP","Napoli","1852","16","33","Prestige Worldwide","Spinazzola Napoli fbref","https://fbref.com/en/search/search.fcgi?search=Spinazzola%20Napoli%20fbref","","","","needs-review","",""
"74","batch-02","fc-2499","Vardy","A","Pc","CRE","Cremonese","2499","16","32","Ac Milan","Vardy Cremonese fbref","https://fbref.com/en/search/search.fcgi?search=Vardy%20Cremonese%20fbref","","","","needs-review","",""
"75","batch-02","fc-7181","Wesley","D","E","ROM","Roma","7181","14","46","Afc Severgas Baronissi","Wesley Roma fbref","https://fbref.com/en/search/search.fcgi?search=Wesley%20Roma%20fbref","","","","needs-review","",""
"76","batch-02","fc-6001","Banda","A","W/A","LEC","Lecce","6001","15","22","Beetlejuice","Banda Lecce fbref","https://fbref.com/en/search/search.fcgi?search=Banda%20Lecce%20fbref","","","","needs-review","",""
"77","batch-02","fc-6666","Bernabè","C","C","PAR","Parma","6666","15","23","Olympic Salerno  FC","Bernabè Parma fbref","https://fbref.com/en/search/search.fcgi?search=Bernab%C3%A8%20Parma%20fbref","","","","needs-review","",""
"78","batch-02","fc-4360","Caprile","P","Por","CAG","Cagliari","4360","12","20","Prestige Worldwide","Caprile Cagliari fbref","https://fbref.com/en/search/search.fcgi?search=Caprile%20Cagliari%20fbref","","","","needs-review","",""
"79","batch-02","fc-5876","Di Gregorio","P","Por","JUV","Juventus","5876","15","30","Beetlejuice","Di Gregorio Juventus fbref","https://fbref.com/en/search/search.fcgi?search=Di%20Gregorio%20Juventus%20fbref","","","","needs-review","",""
"80","batch-02","fc-6398","Isaksen","C","W/A","LAZ","Lazio","6398","16","35","FC DueFratelli2005","Isaksen Lazio fbref","https://fbref.com/en/search/search.fcgi?search=Isaksen%20Lazio%20fbref","","","","needs-review","",""
"81","batch-02","fc-2097","Kean","A","Pc","FIO","Fiorentina","2097","16","40","Olympic Salerno  FC","Kean Fiorentina fbref","https://fbref.com/en/search/search.fcgi?search=Kean%20Fiorentina%20fbref","","","","needs-review","",""
"82","batch-02","fc-4317","N'Dicka","D","Dc","ROM","Roma","4317","12","51","Ac Milan","N'Dicka Roma fbref","https://fbref.com/en/search/search.fcgi?search=N'Dicka%20Roma%20fbref","","","","needs-review","",""
"83","batch-02","fc-536","Politano","C","W","NAP","Napoli","536","13","31","River Plaid","Politano Napoli fbref","https://fbref.com/en/search/search.fcgi?search=Politano%20Napoli%20fbref","","","","needs-review","",""
"84","batch-02","fc-5504","Coulibaly L.","C","M/C","LEC","Lecce","5504","13","21","Real Pisistrius","Coulibaly L Lecce fbref","https://fbref.com/en/search/search.fcgi?search=Coulibaly%20L%20Lecce%20fbref","","","","needs-review","",""
"85","batch-02","fc-5800","Gudmundsson A.","C","T/A","FIO","Fiorentina","5800","13","35","Ac Milan","Gudmundsson A Fiorentina fbref","https://fbref.com/en/search/search.fcgi?search=Gudmundsson%20A%20Fiorentina%20fbref","","","","needs-review","",""
"86","batch-02","fc-6893","Kempf","D","Dc","COM","Como","6893","16","18","Beetlejuice","Kempf Como fbref","https://fbref.com/en/search/search.fcgi?search=Kempf%20Como%20fbref","","","","needs-review","",""
"87","batch-02","fc-5589","Konè M.","C","M/C","ROM","Roma","5589","13","39","Olympic Salerno  FC","Konè M Roma fbref","https://fbref.com/en/search/search.fcgi?search=Kon%C3%A8%20M%20Roma%20fbref","","","","needs-review","",""
"88","batch-02","fc-2120","Bastoni","D","Dc","INT","Inter","2120","13","40","real mappine","Bastoni Inter fbref","https://fbref.com/en/search/search.fcgi?search=Bastoni%20Inter%20fbref","","","","needs-review","",""
"89","batch-02","fc-6217","Bisseck","D","Dc","INT","Inter","6217","15","41","real mappine","Bisseck Inter fbref","https://fbref.com/en/search/search.fcgi?search=Bisseck%20Inter%20fbref","","","","needs-review","",""
"90","batch-02","fc-5888","Casadei","C","C/T","TOR","Torino","5888","13","20","Prestige Worldwide","Casadei Torino fbref","https://fbref.com/en/search/search.fcgi?search=Casadei%20Torino%20fbref","","","","needs-review","",""
"91","batch-02","fc-4657","Celik","D","B/Dd/E","ROM","Roma","4657","14","14","FC DueFratelli2005","Celik Roma fbref","https://fbref.com/en/search/search.fcgi?search=Celik%20Roma%20fbref","","","","needs-review","",""
