playerKey,fantacalcioId,playerName,classicRole,mantraRoles,realTeam,fantasyRoster,fbrefId,fbrefName,fbrefUrl,mappingStatus,statsStatus,competition,matches,starts,minutes,goals,assists,xg,npxg,xa,xag,yellowCards,redCards,sourceUrl,sourceUpdatedAt,statsNotes
fc-6398,6398,Isaksen,C,W/A,LAZ,FC DueFratelli2005,5715bb71,Gustav Isaksen,https://fbref.com/en/players/5715bb71/Gustav-Isaksen,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-5800,5800,Gudmundsson A.,C,T/A,FIO,Ac Milan,b79858d5,Albert Guðmundsson,https://fbref.com/en/players/b79858d5/Albert-Gudmundsson,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-4465,4465,Fagioli,C,C,FIO,FC DueFratelli2005,366be751,Nicolò Fagioli,https://fbref.com/en/players/366be751/Nicolo-Fagioli,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-2134,2134,Falcone,P,Por,LEC,River Plaid,9f5a610b,Wladimiro Falcone,https://fbref.com/en/players/9f5a610b/Wladimiro-Falcone,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-4427,4427,Malinovskyi,C,C/T,GEN,Real Pisistrius,48d5bd33,Ruslan Malinovskyi,https://fbref.com/en/players/48d5bd33/Ruslan-Malinovskyi,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-7347,7347,Bowie,A,A,VER,,6dd87204,Kieron Bowie,https://fbref.com/en/players/6dd87204/Kieron-Bowie,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-184,184,Bernardeschi,C,W/A,BOL,Prestige Worldwide,ee93c1a9,Federico Bernardeschi,https://fbref.com/en/players/ee93c1a9/Federico-Bernardeschi,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-1852,1852,Spinazzola,D,Ds/E,NAP,Prestige Worldwide,3626daea,Leonardo Spinazzola,https://fbref.com/en/players/3626daea/Leonardo-Spinazzola,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-2499,2499,Vardy,A,Pc,CRE,Ac Milan,45963054,Jamie Vardy,https://fbref.com/en/players/45963054/Jamie-Vardy,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-536,536,Politano,C,W,NAP,River Plaid,5e861944,Matteo Politano,https://fbref.com/en/players/5e861944/Matteo-Politano,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-6967,6967,Diao,A,W/A,COM,Olympic Salerno  FC,8ae7d0ec,Assane Diao,https://fbref.com/en/players/8ae7d0ec/Assane-Diao,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-6572,6572,Castro S.,A,Pc,BOL,As Paperopoli,ee5565ae,Santiago Castro,https://fbref.com/en/players/ee5565ae/Santiago-Castro,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-5792,5792,Ederson D.S.,C,M/C,ATA,Prestige Worldwide,a9202def,Éderson,https://fbref.com/en/players/a9202def/Ederson,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-5885,5885,Dodò,D,E,FIO,Ac Milan,b5f7d10b,Dodô,https://fbref.com/en/players/b5f7d10b/Dodo,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-5876,5876,Di Gregorio,P,Por,JUV,Beetlejuice,4e0c8d66,Michele Di Gregorio,https://fbref.com/en/players/4e0c8d66/Michele-Di-Gregorio,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-5544,5544,David,A,Pc,JUV,real mappine,ce50fd99,Jonathan David,https://fbref.com/en/players/ce50fd99/Jonathan-David,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
