playerKey,playerName,classicRole,mantraRoles,realTeam,fantacalcioId,fbrefName,fbrefUrl,matchStatus,notes
"fc-4374","Walukiewicz","D","Dd/Dc","SAS","4374","","","unmapped",""
"fc-4210","Mina","D","Dc","CAG","4210","","","unmapped",""
"fc-4137","Diego Carlos","D","Dc","COM","4137","","","unmapped",""
"fc-2640","Kolasinac","D","B/Ds/E","ATA","2640","","","unmapped",""
"fc-2188","Marusic","D","Dd/Ds/E","LAZ","2188","","","unmapped",""
"fc-393","Luperto","D","Dc","CRE","393","","","unmapped",""
"fc-6981","Vaz","A","Pc","ROM","6981","","","unmapped",""
"fc-7341","Amorim","C","M/C","GEN","7341","","","unmapped",""
"fc-7331","Loyola","C","M/C","PIS","7331","","","unmapped",""
"fc-7208","Miller L.","C","M/C","UDI","7208","","","unmapped",""
"fc-7198","Piotrowski","C","C","UDI","7198","","","unmapped",""
"fc-7028","Bernede","C","C","VER","7028","","","unmapped",""
"fc-6593","Akinsanmiro","C","C/T","PIS","6593","","","unmapped",""
"fc-6424","Prati","C","M/C","TOR","6424","","","unmapped",""
"fc-6271","El Aynaoui","C","M/C","ROM","6271","","","unmapped",""
"fc-6112","Iling Junior","C","E/W","PIS","6112","","","unmapped",""
"fc-6054","Moro N.","C","M/C","BOL","6054","","","unmapped",""
"fc-5685","Koopmeiners","C","C/T","JUV","5685","","","unmapped",""
"fc-5295","Musah","C","C/W","ATA","5295","","","unmapped",""
"fc-5119","Samardzic","C","T","ATA","5119","","","unmapped",""
"fc-1871","Deiola","C","M/C","CAG","1871","","","unmapped",""
"fc-795","El Shaarawy","C","W","ROM","795","","","unmapped",""
"fc-7274","Zè Pedro","D","Dc","CAG","7274","","","unmapped",""
"fc-7139","Canestrelli","D","Dc","PIS","7139","","","unmapped",""
"fc-7018","Nelsson","D","Dc","VER","7018","","","unmapped",""
"fc-6631","Ghilardi","D","Dc","ROM","6631","","","unmapped",""
"fc-6495","Comuzzo","D","Dc","FIO","6495","","","unmapped",""
"fc-5812","Terracciano F.","D","Dd/Ds/E","CRE","5812","","","unmapped",""
"fc-5532","Bradaric","D","Ds/E","VER","5532","","","unmapped",""
"fc-4887","Bellanova","D","E","ATA","4887","","","unmapped",""
"fc-4385","Lazaro","D","Dd/E","TOR","4385","","","unmapped",""
"fc-2593","Martin","D","Ds/E","GEN","2593","","","unmapped",""
"fc-761","Audero","P","Por","CRE","761","","","unmapped",""
"fc-7001","N'Dri","A","W/A","LEC","7001","","","unmapped",""
"fc-4436","Cambiaghi","A","A","BOL","4436","","","unmapped",""
